gene_id,gene,protein_id,id_type,pdb_id,has_alphafold,reference_protein,protein_length_aa,protein_mass_kda,exon_count,genes_in_system,recipient_organism_count,disorder_pct,isoelectric_point_pI,gravy_score,key_publication_year,category,gene_price
fgf21_stgfbr2,FGF21 / sTGFβR2,Q9NSA1,uniprot,6M6E,true,FGF21,209,22.3,3,2,2,30,5.4,-0.48,2019,Longevity & Genome,5
fluc,Luciferase / Luciferin,P08659,uniprot,3RIX,true,Luciferase,550,60.7,7,2,5,8,6.4,-0.35,2006,Expression,10
foxo3,FOXO3,O43524,uniprot,2K86,true,FOXO3,673,71.3,3,1,2,45,5.2,-0.72,2015,Longevity & Genome,5
fst344,FST,P19883,uniprot,,true,FST,344,38,6,1,4,15,5.5,-0.42,2014,Regeneration,6
fth1b_shark,FTH1B (Shark),,,,false,,,,,1,0,,,,2016,Stress Resistance,5
gaafp_glaciozyma,GaAFP,,,,false,,,,,1,0,,,,2012,Environmental Adaptation,4
gfp,GFP,P42212,uniprot,6L27,true,GFP,238,26.9,1,1,9,2,5.8,-0.55,1994,Expression,8
ghr_laron,GHR,P10912,uniprot,1A22,true,GHR,638,71.5,,1,1,59.6,4.76,-0.412,2024,Longevity & Genome,12
glassin_sponge,Glassin,,,,false,,,,,1,0,,,,2013,Expression,4
glut5_khk_nmr,GLUT5/KHK (NMR),,,,false,,,,,2,0,,,,2021,Longevity & Genome,6
greenland_shark_repair,GS DNA-repair / TP53,,,,false,TP53,393,43.7,11,81,0,30,6.3,-0.68,2024,Longevity & Genome,4
h1f0_shark,H1F0 (Shark),,,,false,,,,,1,0,,,,2016,Longevity & Genome,5
has2_nmr,HAS2,Q92819,uniprot,,true,HAS2,552,63.2,4,1,1,8,7.6,-0.05,2013,Longevity & Genome,5
hkt15_einkorn,TmHKT1;5-A (Nax2 locus),A4ZGN5,uniprot,,true,HKT8,517,57.3,,1,1,9.3,8.04,0.363,2012,Environmental Adaptation,6
hsf1_pv,HSF1,A0A9J6CAY1,uniprot,,true,HSF1,529,57,12,1,0,45,5,-0.8,2018,Stress Resistance,7
hsp104_potentiated,Hsp104 (potentiated variants A503S / A503V / V426L),P31539,uniprot,5KNE,true,HSP104,908,102,,3,2,5.7,5.31,-0.468,2014,Stress Resistance,12
kcnma1_skate,KCNMA1,Q12791,uniprot,6V5A,true,KCNMA1,1236,137.6,29,1,1,10,6.5,-0.42,2015,Perception,8
klotho,Klotho,Q9UEF7,uniprot,8TOH,true,KL,1012,116,5,1,1,10,5.5,-0.33,2010,Longevity & Genome,5
lin28a,Lin28a,Q9H9Z2,uniprot,2CQF,true,LIN28A,209,22.7,4,1,2,20,9,-0.7,2011,Regeneration,8
lmna_abe_g608g,LMNA,P02545,uniprot,1IFR,true,LMNA,664,74.1,,1,2,31,6.57,-0.863,2021,Longevity & Genome,9
lrrc10_cardiac,LRRC10,,,,false,,,,,1,0,,,,2021,Regeneration,6
mahs_tardigrade,MAHS,,,,false,,,,,1,0,,,,2015,Stress Resistance,5
masp1,MaSp1,P19837,uniprot,,true,Spidroin-1,748,60.6,2,1,7,80,4.5,-0.65,2018,Expression,6
mb_seal,MB / GSH,R9RY82,uniprot,,true,MB,154,17.2,3,2,0,2,7.3,-0.38,2020,Environmental Adaptation,4
mefp5_mussel,Mefp-5 (mfp-5),Q8WTE8,uniprot,,true,Mefp-5 (mfp-5),98,11.2,,1,1,75.5,9.74,-0.92,2012,Expression,7
melanin_pathway,Melanin,,,,false,TYR,532,60.8,1,5,0,5,6.8,-0.15,2007,Stress Resistance,5
mgmt_p140k,MGMT,P16455,uniprot,1QNT,true,MGMT,207,21.7,5,1,1,8,7.4,-0.3,2010,Longevity & Genome,8
mstn_ko,MSTN,O14793,uniprot,5NTU,true,MSTN,375,42.8,3,1,8,18,5.7,-0.38,2004,Regeneration,6
mupks_budgerigar,MuPKS,,,,false,MuPKS,,,,1,2,,,,2017,Expression,5
newtic1_newt,Newtic1,,,,false,,,,,1,0,,,,2016,Regeneration,5
ngf_corneal_nerve,NGF (β-NGF),P01138,uniprot,1SG1,true,NGF,241,27,,1,1,52.3,9.94,-0.363,2026,Regeneration,15
oil_droplet_apocarotenoid,BCO2 / RDH12 / RETSAT (apocarotenoid oil-droplet pathway),H0YPV0,uniprot,,true,BCO2,613,68.8,,3,3,9.6,7.63,-0.319,2016,Perception,7
opn5_deep_brain,OPN5 (Opsin 5 / neuropsin),D9N3D0,uniprot,,true,OPN5,378,42,,2,2,21.4,8.77,0.451,2010,Perception,6
osk_partial_reprog,OCT4 / SOX2 / KLF4 (OSK),P20263,uniprot,1OCP,true,Pou5f1,352,38.2,,3,4,57.7,6.05,-0.411,2020,Longevity & Genome,15
parietopsin_lizard,"Parietopsin (+ pinopsin, GNAO1)",Q1L4C8,uniprot,,true,"Parietopsin (+ pinopsin, GNAO1)",346,38.7,,2,2,11.6,7.41,0.601,2012,Perception,5
pcsk9_edit,PCSK9,Q8NBP7,uniprot,6U26,true,PCSK9,692,74.3,12,1,3,12,6.1,-0.32,2021,Longevity & Genome,7
pdc_adh8a_carp,"PDC (E1alpha3/E1beta2, betaD319N) + ADH8a",A0A288DUG2,uniprot,,true,"PDC (E1alpha3/E1beta2, betaD319N) + ADH8a",360,39.6,,3,2,0,6.52,-0.007,2017,Stress Resistance,8
piezo2,PIEZO2,Q9H5I5,uniprot,,true,PIEZO2,2752,318.1,56,1,3,10,6,-0.15,2010,Perception,7
pif,Pif,C7G0B5,uniprot,,true,Protein PIF,1007,115.4,5,1,1,37,5.5,-1.1,2009,Expression,10
plaur_car_senolytic,PLAUR (uPAR) — anti-uPAR CAR construct,Q03405,uniprot,1YWH,true,PLAUR,335,37,,1,3,15.2,6.19,-0.419,2024,Longevity & Genome,13
pot1_turritopsis,POT1 / SIRT3 / RTEL1,,,,false,POT1,634,71.4,22,3,0,18,6,-0.4,2025,Regeneration,4
ppri_ppra,PprI / PprA,Q9RXY7,uniprot,,true,PprA,300,33,1,2,2,10,5,-0.25,2016,Stress Resistance,5
pr_marine_photoheterotroph,PR (green-light-absorbing proteorhodopsin),Q9F7P4,uniprot,2L6X,true,PR (green-light-absorbing proteorhodopsin),249,27.3,,1,1,4,5.06,0.809,2007,Environmental Adaptation,6
prestin_echo,Prestin,D7PC76,uniprot,7S8X,true,SLC26A5,744,81.4,21,1,0,4,6,0.08,2010,Perception,6
ptugt1_indigo,PtUGT1 (indican synthase),A0A2Z5UHQ8,uniprot,,true,PtUGT-71like,497,54.3,,1,4,4.6,5.59,-0.099,2024,Expression,4
pvlea,PvLEA,Q1XI25,uniprot,,true,PvLEA4,300,33,2,27,3,90,6.5,-1.2,2014,Stress Resistance,5
pvlil_rotifer,PvLiL,,,,false,,,,,1,0,,,,2023,Stress Resistance,4
pvpimt,PvPIMT,S6CDF7,uniprot,,true,PCMT1,227,24.6,4,14,0,12,6.8,-0.3,2014,Longevity & Genome,6
rbm3,RBM3,P98179,uniprot,7EB1,true,RNA-binding protein 3,157,17.2,7,1,3,49,9.8,-1.15,2015,Environmental Adaptation,5
reflectin,Reflectin,I7LGW2,uniprot,,true,Reflectin A1,294,32,1,6,0,40,3.9,-0.8,2019,Expression,12
resilin,Resilin,Q9V7U0,uniprot,,true,Pro-resilin,620,58.6,4,1,2,94,4.4,-1,2011,Expression,10
rgy_pyrococcus,Reverse gyrase (RGY / TopR),P95479,uniprot,,true,rgy,1214,140,,2,4,0,7.51,-0.303,2017,Environmental Adaptation,4
rh1_spinyfin,RH1 (Spinyfin),,,,false,,,,,14,0,,,,2019,Perception,5
s100a10_deer,S100A10 (Deer),,,,false,,,,,1,0,,,,2023,Regeneration,5
scaldh21_moss,ScALDH21,ACT10823,ncbi_protein,,false,ALDH21,483,53,,1,3,0,5.83,-0.136,2023,Stress Resistance,6
scn4aa,SCN4AA,A0A4W4FPH1,uniprot,,false,scn4aa,1820,208,27,1,0,2,5.4,-0.02,2019,Environmental Adaptation,12
sirt6_cent_variant,"SIRT6 (centSIRT6, N308K/A313S)",Q8N6T7,uniprot,3K35,true,SIRT6,355,39.1,,2,4,20.8,9.31,-0.499,2022,Longevity & Genome,6
slc30a8_ko,SLC30A8,Q8IWU4,uniprot,6XPD,true,SLC30A8,369,40.8,,1,1,18.2,6.11,0.403,2025,Longevity & Genome,12
smedwi,PIWI / SMEDWI,Q2Q5Y8,uniprot,,true,SMEDWI-2,861,98.5,1,3,0,12,9.2,-0.52,2015,Regeneration,10
sod2,SOD2,P04179,uniprot,9NSJ,true,SOD2,222,24.7,5,1,2,5,8.4,-0.28,2012,Stress Resistance,1
sor_pyrococcus,SOR (superoxide reductase),P82385,uniprot,1DO6,true,sorA,124,14.3,,1,3,0,5.69,-0.517,2016,Stress Resistance,5
sostdc1_usag1_tooth,SOSTDC1 (USAG-1),A0A8U0MID0,uniprot,,true,SOSTDC1,206,23.3,,1,2,48.5,9.78,-0.65,2021,Regeneration,12
sting_bat,STING,L5JUR0,uniprot,,true,STING1,379,42.2,8,1,1,5,5.8,0.02,2020,Environmental Adaptation,6
suckerin_squid,Suckerin,,,,false,,,,,1,0,,,,2014,Expression,5
sws1_bird,SWS1,P03999,uniprot,,true,OPN1SW,345,38.7,5,1,2,8,5.3,0.05,1998,Perception,7
t1r1_t1r3_hummingbird,TAS1R1 / TAS1R3 (T1R1-T1R3 heterodimer),A0A088DBT6,uniprot,,true,T1R1,826,90.5,,2,4,8.1,5.95,0.122,2022,Perception,4
tapetum,Tapetum lucidum,,,,false,CRYGN,587,65.3,7,4,0,12,6.8,-0.25,2015,Perception,7
tdr1,TDR1,,,,false,TDR1,350,39,1,1,1,35,8.5,-0.7,2024,Stress Resistance,6
tert,TERT,O14746,uniprot,5UGW,true,TERT,1132,127,16,1,2,15,9.9,-0.47,2016,Regeneration,6
tka_tkg_hagfish,TKalpha / TKgamma (thread biopolymer filament subunits alpha and gamma),Q90501,uniprot,,true,TKalpha / TKgamma (thread biopolymer filament subunits alpha,643,66.7,,2,4,49.3,8.64,-0.248,2026,Expression,6
tmat_tmm_myroides,TMAT/TMM,,,,false,,,,,2,0,,,,2022,Environmental Adaptation,4
tmc1,TMC1,Q8TDI8,uniprot,8XOQ,true,TMC1,760,87.8,24,1,4,10,7.8,-0.05,2015,Perception,7
tp53_elephant,TP53 (elephant),P04637,uniprot,3D06,true,TP53,393,43.7,11,1,1,30,6.3,-0.68,2015,Longevity & Genome,5
tp53_rtg9,TP53-RTG9,G3UDE4,uniprot,,true,TP53,360,40,1,20,1,25,6.5,-0.6,2023,Longevity & Genome,5
tps_pv,TPS,C9K4M3,uniprot,,true,TPS1,500,56,3,2,2,8,5.8,-0.2,2020,Environmental Adaptation,5
trpa1_viper,TRPA1,D4P383,uniprot,,true,TRPA1,1119,127.5,27,1,0,8,6.5,-0.15,2010,Perception,9
trpv1s_vampire_bat,TRPV1s (Vampire bat),,,,false,,,,,1,0,,,,2011,Perception,5
uhrf1_deer,UHRF1 (Deer),,,,false,,,,,1,0,,,,2023,Regeneration,5
v2r_snake_vno,V2R vomeronasal receptor family (snake-specific expansion),A0A6P9DVG7,uniprot,,true,LOC117678254,918,102.9,,1,3,6.6,6.1,0.047,2018,Perception,3
vegf_therapy,VEGF,P15692,uniprot,1MKK,true,VEGFA,412,46,8,1,5,20,9.2,-0.55,2001,Regeneration,5
xrcc5_roughy,XRCC5 (Roughy),,,,false,,,,,1,0,,,,2021,Longevity & Genome,5
